,,,,,,,
Tên công ty,Công ty Cổ phần Sữa Việt Nam,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,15/03/2025,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
23/10/2024,66777.4844743413,67075.1552818049,66678.2608718534,66777.4844743413,0,0,1835900
22/10/2024,66777.4844743413,67273.6024867807,66678.2608718534,66777.4844743413,0,0,2250400
21/10/2024,66876.7080768292,67372.8260892685,66678.2608718534,66777.4844743413,-100,-0.00148367952522255,1860000
18/10/2024,67075.1552818049,67472.0496917564,66876.7080768292,66876.7080768292,-200,-0.00295857988165682,1737502
17/10/2024,67075.1552818049,67372.8260892685,66777.4844743413,67075.1552818049,100,0.00148148148148142,1655019
16/10/2024,66281.3664619019,67571.2732942443,66281.3664619019,66975.931679317,700,0.0104790419161678,2003900
15/10/2024,66678.2608718534,66876.7080768292,66182.142859414,66281.3664619019,-400,-0.00595238095238093,3473302
14/10/2024,67571.2732942443,67571.2732942443,66579.0372693655,66678.2608718534,-500,-0.00738552437223039,3220500
11/10/2024,67571.2732942443,67670.4968967322,66975.931679317,67174.3788842928,0,0,2690038
10/10/2024,67769.7204992201,68265.8385116594,67174.3788842928,67174.3788842928,-100,-0.00147492625368728,3122515
09/10/2024,67769.7204992201,68067.3913066837,67273.6024867807,67273.6024867807,-400,-0.00586510263929618,3827960
08/10/2024,66678.2608718534,67670.4968967322,66678.2608718534,67670.4968967322,1100,0.0163934426229508,3182649
07/10/2024,68166.6149091716,68761.9565240988,66579.0372693655,66579.0372693655,-1400,-0.0204379562043796,5986300
04/10/2024,69952.6397539534,69952.6397539534,67868.9441017079,67968.1677041958,-1800,-0.0256045519203414,6134000
03/10/2024,69654.9689464897,69952.6397539534,69357.2981390261,69754.1925489776,200,0.00285306704707566,2948000
02/10/2024,69654.9689464897,69654.9689464897,69059.6273315625,69555.7453440018,0,0,2139900
01/10/2024,69654.9689464897,70151.0869589291,69555.7453440018,69555.7453440018,0,0,2040200
30/09/2024,70448.7577663927,70448.7577663927,69555.7453440018,69555.7453440018,-900,-0.0126760563380282,2043516
27/09/2024,70250.310561417,70647.2049713685,70151.0869589291,70448.7577663927,300,0.00424328147100428,3168700
26/09/2024,69059.6273315625,70547.9813688806,69059.6273315625,70151.0869589291,1100,0.0158045977011494,4484109
25/09/2024,69754.1925489776,69853.4161514655,69059.6273315625,69059.6273315625,-700,-0.00995732574679942,4847436
24/09/2024,70448.7577663927,70448.7577663927,69555.7453440018,69754.1925489776,-200,-0.00283687943262412,2199514
23/09/2024,70094.8058064635,70190.6947336953,69615.3611703044,69903.0279519998,200,0.00275103163686374,2997201
20/09/2024,70478.3615153908,70957.8061515499,69711.2500975362,69711.2500975362,-600,-0.00818553888130968,6555403
19/09/2024,70286.5836609271,70478.3615153908,69998.9168792317,70286.5836609271,0,0,1572742
18/09/2024,70574.2504426226,70861.9172243181,69998.9168792317,70286.5836609271,-100,-0.00136239782016345,2845344
17/09/2024,69040.0276069134,70382.472588159,68752.3608252179,70382.472588159,1500,0.0208623087621698,2526732
16/09/2024,69998.9168792317,69998.9168792317,68944.1386796816,68944.1386796816,-1000,-0.0137174211248285,4034700
13/09/2024,71724.9175694045,71724.9175694045,69903.0279519998,69903.0279519998,-1800,-0.0240963855421686,5347113
12/09/2024,71916.6954238681,72108.4732783318,71341.3618604772,71629.0286421727,100,0.00134048257372643,2052124
